Version,Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore,Detections,ViolationsIndexes
1.0,2022-06-01 09:59:46,2,1,0.96,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [236.0875701904297, 227.68898963928223, 423.85169982910156, 467.9560375213623], 'bbox': [0.36888683, 0.47435206, 0.6622683, 0.9749084], 'tracking_id': 29}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [248.87929916381836, 103.87792110443115, 360.81409454345703, 301.3929748535156], 'bbox': [0.3888739, 0.21641234, 0.563772, 0.62790203], 'tracking_id': 30}]","[0, 1]"
1.0,2022-06-01 09:59:47,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [444.96082305908203, 179.60186004638672, 610.6650924682617, 375.57952880859375], 'bbox': [0.6952513, 0.37417054, 0.9541642, 0.78245735], 'tracking_id': 32}]",[]
1.0,2022-06-01 09:59:47,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [240.93822479248047, 109.75808143615723, 381.0466003417969, 426.5109157562256], 'bbox': [0.37646598, 0.22866267, 0.5953853, 0.8885644], 'tracking_id': 33}]",[]
1.0,2022-06-01 09:59:48,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [451.0389709472656, 167.34646797180176, 638.621826171875, 427.787504196167], 'bbox': [0.7047484, 0.34863847, 0.9978466, 0.89122397], 'tracking_id': 34}]",[]
1.0,2022-06-01 09:59:48,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [453.0547332763672, 168.50462436676025, 642.2117614746094, 397.6066017150879], 'bbox': [0.707898, 0.3510513, 1.0034559, 0.8283471], 'tracking_id': 34}]",[]
1.0,2022-06-01 09:59:49,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [467.81177520751953, 142.6143980026245, 638.1972885131836, 423.84727478027344], 'bbox': [0.7309559, 0.29711333, 0.99718326, 0.88301516], 'tracking_id': 34}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [202.490234375, 131.29347324371338, 355.3630065917969, 329.03148651123047], 'bbox': [0.316391, 0.27352807, 0.5552547, 0.68548226], 'tracking_id': 35}]",[]
1.0,2022-06-01 09:59:49,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [458.00670623779297, 156.51921272277832, 640.025634765625, 428.63476753234863], 'bbox': [0.7156355, 0.3260817, 1.00004, 0.8929891], 'tracking_id': 34}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [203.06015014648438, 131.17761611938477, 344.8160934448242, 327.35389709472656], 'bbox': [0.31728148, 0.2732867, 0.53877515, 0.6819873], 'tracking_id': 35}]",[]
1.0,2022-06-01 09:59:50,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [453.06610107421875, 129.9662160873413, 642.1465301513672, 432.42284774780273], 'bbox': [0.7079158, 0.27076295, 1.003354, 0.90088093], 'tracking_id': 34}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [206.8265151977539, 133.02472114562988, 348.42472076416016, 310.9317111968994], 'bbox': [0.32316643, 0.27713484, 0.5444136, 0.6477744], 'tracking_id': 35}]",[]
1.0,2022-06-01 09:59:50,2,0,0.98,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [204.43256378173828, 132.09454536437988, 348.32786560058594, 319.97915267944336], 'bbox': [0.31942588, 0.27519697, 0.5442623, 0.66662323], 'tracking_id': 35}, {'position': [0.0, 0.0, 0.0], 'bbox_real': [449.09324645996094, 167.39423274993896, 638.5026550292969, 422.84156799316406], 'bbox': [0.7017082, 0.34873798, 0.9976604, 0.88091993], 'tracking_id': 34}]",[]
1.0,2022-06-01 09:59:51,1,0,0.99,"[{'position': [0.0, 0.0, 0.0], 'bbox_real': [194.51787948608398, 141.56415939331055, 341.9736099243164, 331.5132236480713], 'bbox': [0.3039342, 0.29492533, 0.53433377, 0.69065255], 'tracking_id': 35}]",[]
